Region,District,Variety,Age (Years),Rainfed/Irrigated,Soil Type,Intercropping,Pest/Disease Pressure,Fertilizer Use (kg/tree/year),Average Yield (Nuts/Tree/Year)
Wet Zone,Kalutara,Dwarf (CRIC 60),7,Rainfed,Clay Loam,None,Low,0.4,73
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),5,Irrigated,Loamy Sand,None,Medium,1.1,68
Wet Zone,Galle,Dwarf (Gon Thembili),4,Irrigated,Clay Loam,Banana,Medium,1.0,81
Wet Zone,Kalutara,Tall,8,Irrigated,Clay Loam,Banana,Medium,1.2,73
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.9,52
Dry Zone,Puttalam,Tall,9,Irrigated,Loamy Sand,Cowpea,Low,0.9,68
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Medium,0.7,51
Intermediate Zone,Kurunegala,Tall,12,Rainfed,Reddish Brown Earth,None,Low,1.2,72
Wet Zone,Galle,Tall,8,Rainfed,Sandy Loam,None,High,0.5,51
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),7,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.1,110
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),5,Rainfed,Reddish Brown Earth,None,Low,0.7,56
Wet Zone,Matara,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Low,0.8,96
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),4,Irrigated,Reddish Brown Earth,None,Medium,0.9,93
Dry Zone,Polonnaruwa,Tall,13,Rainfed,Sandy,None,Medium,0.8,58
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),3,Irrigated,Sandy,Cowpea,Medium,1.1,82
Dry Zone,Polonnaruwa,Tall,8,Irrigated,Loamy Sand,Peanut,Low,1.2,48
Wet Zone,Matara,Tall,10,Rainfed,Sandy Loam,None,Medium,0.6,67
Dry Zone,Anuradhapura,Tall,14,Rainfed,Sandy,None,Low,0.6,58
Wet Zone,Kalutara,Dwarf (CRISL 98),5,Irrigated,Clay Loam,Pineapple,High,1.1,117
Wet Zone,Matara,Tall,13,Irrigated,Clay Loam,Banana,Medium,1.1,77
Wet Zone,Kalutara,Tall,9,Rainfed,Sandy Loam,None,Medium,0.5,53
Dry Zone,Polonnaruwa,Tall,14,Rainfed,Sandy,None,Low,0.6,45
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,Medium,0.8,97
Wet Zone,Galle,Dwarf (CRIC 60),4,Irrigated,Sandy Loam,Pineapple,Medium,1.0,114
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,Medium,0.5,71
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,High,0.8,92
Wet Zone,Galle,Tall,12,Rainfed,Clay Loam,None,Medium,1.1,76
Intermediate Zone,Puttalam,Tall,15,Rainfed,Reddish Brown Earth,None,High,1.2,72
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Low,0.8,105
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.9,59
Intermediate Zone,Kurunegala,Tall,6,Rainfed,Reddish Brown Earth,None,Medium,1.2,32
Intermediate Zone,Puttalam,Dwarf (CRISL 98),7,Rainfed,Reddish Brown Earth,None,Medium,0.7,82
Dry Zone,Polonnaruwa,Tall,6,Irrigated,Sandy,None,Medium,1.2,55
Dry Zone,Anuradhapura,Tall,10,Irrigated,Sandy,None,Medium,1.1,58
Wet Zone,Galle,Tall,10,Irrigated,Sandy Loam,Pineapple,Medium,0.8,55
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,High,0.3,68
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,Medium,0.4,64
Wet Zone,Matara,Tall,5,Rainfed,Sandy Loam,None,Low,0.6,49
Wet Zone,Matara,Tall,7,Rainfed,Sandy Loam,None,Medium,0.8,63
Wet Zone,Matara,Dwarf (CRISL 98),6,Rainfed,Sandy Loam,None,Low,0.9,78
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Low,0.8,36
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Irrigated,Reddish Brown Earth,None,Low,1.0,91
Intermediate Zone,Puttalam,Dwarf (CRISL 98),7,Irrigated,Reddish Brown Earth,Cassava,Medium,1.1,96
Wet Zone,Matara,Tall,12,Rainfed,Clay Loam,None,Low,0.4,43
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.8,34
Dry Zone,Polonnaruwa,Tall,13,Rainfed,Sandy,None,Low,0.6,59
Wet Zone,Galle,Tall,6,Rainfed,Clay Loam,None,Medium,0.9,35
Intermediate Zone,Puttalam,Tall,13,Rainfed,Reddish Brown Earth,None,High,0.9,48
Intermediate Zone,Kurunegala,Tall,15,Rainfed,Reddish Brown Earth,None,Medium,0.5,33
Dry Zone,Anuradhapura,Tall,15,Irrigated,Loamy Sand,None,Medium,1.2,66
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),4,Rainfed,Reddish Brown Earth,None,Medium,1.1,55
Wet Zone,Matara,Dwarf (Gon Thembili),3,Rainfed,Sandy Loam,None,Low,1.0,85
Intermediate Zone,Kurunegala,Tall,12,Irrigated,Reddish Brown Earth,None,Medium,0.9,59
Wet Zone,Kalutara,Dwarf (CRISL 98),5,Rainfed,Sandy Loam,None,Medium,1.2,86
Intermediate Zone,Kurunegala,Tall,11,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,79
Dry Zone,Polonnaruwa,Tall,5,Rainfed,Sandy,None,Low,1.2,58
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Medium,1.0,66
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),3,Irrigated,Reddish Brown Earth,Cassava,High,0.9,67
Wet Zone,Matara,Tall,8,Rainfed,Clay Loam,None,Medium,0.4,66
Wet Zone,Galle,Tall,5,Rainfed,Sandy Loam,None,High,0.7,34
Wet Zone,Galle,Tall,12,Rainfed,Sandy Loam,None,Low,1.2,38
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Low,0.9,89
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,0.8,51
Intermediate Zone,Puttalam,Tall,14,Rainfed,Reddish Brown Earth,None,High,0.8,34
Intermediate Zone,Puttalam,Tall,5,Irrigated,Reddish Brown Earth,Cassava,Low,1.2,71
Intermediate Zone,Kurunegala,Tall,12,Irrigated,Reddish Brown Earth,None,Low,0.8,58
Wet Zone,Galle,Tall,14,Rainfed,Sandy Loam,None,Medium,1.1,68
Dry Zone,Polonnaruwa,Dwarf (CRISL 98),4,Irrigated,Loamy Sand,Cowpea,High,1.1,95
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Irrigated,Loamy Sand,None,Low,1.2,79
Wet Zone,Kalutara,Dwarf (Gon Thembili),5,Irrigated,Sandy Loam,Pineapple,Medium,1.1,103
Wet Zone,Galle,Tall,13,Irrigated,Clay Loam,Banana,Low,0.8,70
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,Medium,0.6,55
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.6,71
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Low,0.7,49
Dry Zone,Puttalam,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,Medium,0.4,72
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.4,59
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Irrigated,Reddish Brown Earth,None,Low,1.0,122
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),6,Rainfed,Sandy,None,Low,0.5,55
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),5,Rainfed,Reddish Brown Earth,None,Medium,0.5,64
Dry Zone,Anuradhapura,Tall,12,Irrigated,Sandy,Peanut,Medium,1.0,38
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Irrigated,Sandy,Peanut,Low,1.2,77
Wet Zone,Galle,Tall,5,Rainfed,Sandy Loam,None,Medium,0.6,50
Dry Zone,Anuradhapura,Tall,11,Rainfed,Loamy Sand,None,Medium,0.8,34
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,Low,1.0,38
Wet Zone,Kalutara,Tall,5,Rainfed,Sandy Loam,None,Low,0.6,56
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),7,Irrigated,Reddish Brown Earth,Sweet Potato,High,1.0,92
Wet Zone,Matara,Tall,5,Rainfed,Clay Loam,None,Low,0.4,76
Dry Zone,Anuradhapura,Tall,11,Rainfed,Sandy,None,High,1.1,34
Dry Zone,Anuradhapura,Tall,5,Irrigated,Sandy,None,Low,0.9,67
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Sandy,None,Medium,0.9,51
Wet Zone,Kalutara,Tall,11,Rainfed,Sandy Loam,None,Medium,0.8,57
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),3,Irrigated,Loamy Sand,None,Medium,1.1,105
Dry Zone,Puttalam,Tall,15,Rainfed,Sandy,None,Medium,0.8,50
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.6,57
Intermediate Zone,Kurunegala,Tall,8,Irrigated,Reddish Brown Earth,None,Medium,0.9,49
Dry Zone,Puttalam,Tall,12,Irrigated,Sandy,Peanut,Low,1.1,59
Wet Zone,Kalutara,Dwarf (CRISL 98),6,Rainfed,Sandy Loam,None,High,0.5,87
Intermediate Zone,Puttalam,Tall,12,Irrigated,Reddish Brown Earth,Cassava,Medium,1.2,64
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Clay Loam,None,Medium,0.5,107
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,None,Low,1.1,93
Wet Zone,Matara,Tall,15,Irrigated,Sandy Loam,None,Low,1.0,53
Intermediate Zone,Kurunegala,Tall,6,Rainfed,Reddish Brown Earth,None,Low,1.0,55
Dry Zone,Anuradhapura,Tall,15,Rainfed,Loamy Sand,None,Low,0.6,40
Dry Zone,Puttalam,Tall,5,Rainfed,Sandy,None,Low,1.0,57
Dry Zone,Puttalam,Dwarf (CRIC 60),6,Rainfed,Sandy,None,Medium,0.9,64
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),4,Rainfed,Reddish Brown Earth,None,Medium,0.8,104
Intermediate Zone,Puttalam,Dwarf (CRISL 98),4,Irrigated,Reddish Brown Earth,None,Low,1.0,86
Dry Zone,Polonnaruwa,Tall,15,Rainfed,Sandy,None,High,0.9,29
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Medium,0.9,40
Intermediate Zone,Puttalam,Tall,10,Irrigated,Reddish Brown Earth,Sweet Potato,Low,0.8,42
Wet Zone,Kalutara,Dwarf (CRIC 60),7,Irrigated,Sandy Loam,Banana,High,1.1,118
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,None,Low,1.0,88
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,0.7,44
Wet Zone,Matara,Dwarf (CRISL 98),7,Rainfed,Clay Loam,None,Medium,0.9,95
Wet Zone,Kalutara,Dwarf (CRIC 60),5,Irrigated,Sandy Loam,Banana,High,1.1,94
Wet Zone,Matara,Tall,13,Rainfed,Sandy Loam,None,Low,0.5,44
Dry Zone,Anuradhapura,Dwarf (CRIC 60),4,Rainfed,Sandy,None,Low,0.4,60
Wet Zone,Galle,Tall,13,Irrigated,Sandy Loam,Banana,Low,1.1,62
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Clay Loam,None,High,1.1,80
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Clay Loam,None,Medium,1.1,97
Dry Zone,Anuradhapura,Dwarf (CRISL 98),3,Irrigated,Loamy Sand,Cowpea,Medium,1.0,89
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Rainfed,Sandy,None,Low,1.0,59
Dry Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Loamy Sand,None,High,0.4,92
Intermediate Zone,Kurunegala,Tall,5,Rainfed,Reddish Brown Earth,None,Low,0.8,35
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,0.6,34
Wet Zone,Kalutara,Tall,6,Irrigated,Sandy Loam,None,Medium,0.9,71
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Medium,0.5,92
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Irrigated,Loamy Sand,None,Medium,1.2,72
Wet Zone,Kalutara,Tall,15,Rainfed,Sandy Loam,None,Medium,0.5,49
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Medium,1.0,74
Wet Zone,Matara,Tall,11,Rainfed,Sandy Loam,None,Low,1.0,68
Dry Zone,Polonnaruwa,Tall,11,Rainfed,Loamy Sand,None,Medium,1.0,61
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.0,111
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,1.0,37
Intermediate Zone,Puttalam,Tall,5,Rainfed,Reddish Brown Earth,None,Medium,0.5,74
Wet Zone,Matara,Dwarf (CRISL 98),4,Rainfed,Clay Loam,None,Medium,0.7,86
Wet Zone,Kalutara,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Low,0.7,94
Wet Zone,Galle,Tall,15,Irrigated,Clay Loam,Banana,Low,1.2,70
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Low,0.7,74
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.9,68
Dry Zone,Puttalam,Tall,6,Rainfed,Loamy Sand,None,High,0.9,48
Dry Zone,Anuradhapura,Tall,11,Rainfed,Sandy,None,Medium,0.9,45
Wet Zone,Kalutara,Tall,13,Rainfed,Clay Loam,None,Low,0.8,55
Intermediate Zone,Kurunegala,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,0.5,66
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),3,Rainfed,Loamy Sand,None,Low,0.5,73
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Medium,0.6,40
Intermediate Zone,Puttalam,Tall,10,Rainfed,Reddish Brown Earth,None,Low,0.9,43
Wet Zone,Galle,Dwarf (CRISL 98),7,Irrigated,Sandy Loam,Pineapple,Low,0.9,82
Wet Zone,Matara,Dwarf (CRISL 98),4,Rainfed,Clay Loam,None,Low,1.2,95
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,47
Intermediate Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Low,0.8,79
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Sandy,None,High,0.5,63
Wet Zone,Kalutara,Tall,6,Rainfed,Sandy Loam,None,Low,0.7,30
Wet Zone,Matara,Dwarf (CRIC 60),4,Irrigated,Sandy Loam,Pineapple,Medium,1.0,114
Dry Zone,Anuradhapura,Tall,9,Irrigated,Loamy Sand,Peanut,Medium,1.0,34
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Irrigated,Reddish Brown Earth,None,Low,1.0,106
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Medium,0.4,95
Dry Zone,Polonnaruwa,Tall,7,Rainfed,Loamy Sand,None,High,0.7,51
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,None,Medium,0.8,59
Intermediate Zone,Puttalam,Tall,14,Rainfed,Reddish Brown Earth,None,Medium,0.8,38
Wet Zone,Galle,Dwarf (Gon Thembili),4,Rainfed,Sandy Loam,None,Medium,0.6,60
Dry Zone,Polonnaruwa,Tall,5,Rainfed,Loamy Sand,None,Low,0.9,48
Dry Zone,Polonnaruwa,Tall,14,Rainfed,Sandy,None,Low,0.6,30
Wet Zone,Galle,Tall,11,Rainfed,Clay Loam,None,Low,0.5,64
Intermediate Zone,Puttalam,Tall,15,Rainfed,Reddish Brown Earth,None,Low,0.8,58
Wet Zone,Kalutara,Dwarf (CRIC 60),6,Rainfed,Sandy Loam,None,Medium,1.1,64
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),4,Irrigated,Sandy,None,Low,1.0,70
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,Low,0.4,77
Dry Zone,Puttalam,Tall,7,Irrigated,Loamy Sand,Peanut,Medium,1.1,47
Intermediate Zone,Kurunegala,Tall,12,Rainfed,Reddish Brown Earth,None,Low,1.0,35
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,Cassava,Medium,0.8,55
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Medium,1.1,62
Intermediate Zone,Kurunegala,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.9,60
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),4,Rainfed,Reddish Brown Earth,None,Medium,0.8,54
Wet Zone,Matara,Tall,14,Rainfed,Sandy Loam,None,Low,0.6,63
Intermediate Zone,Kurunegala,Tall,7,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,44
Wet Zone,Galle,Tall,15,Irrigated,Clay Loam,None,Medium,0.9,54
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Sandy,None,Low,1.0,30
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),4,Irrigated,Loamy Sand,Peanut,Medium,0.9,97
Dry Zone,Polonnaruwa,Tall,6,Rainfed,Sandy,None,Low,1.0,61
Dry Zone,Polonnaruwa,Tall,10,Rainfed,Sandy,None,Medium,1.2,42
Wet Zone,Galle,Dwarf (CRIC 60),6,Rainfed,Clay Loam,None,Low,0.5,107
Dry Zone,Anuradhapura,Tall,14,Irrigated,Loamy Sand,Peanut,Medium,0.9,57
Wet Zone,Galle,Dwarf (CRIC 60),7,Rainfed,Sandy Loam,None,High,0.7,90
Wet Zone,Matara,Tall,10,Irrigated,Clay Loam,Pineapple,High,1.0,92
Dry Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Loamy Sand,None,Low,0.9,63
Intermediate Zone,Puttalam,Tall,6,Rainfed,Reddish Brown Earth,None,Low,0.7,56
Dry Zone,Anuradhapura,Tall,13,Rainfed,Sandy,None,Low,1.0,62
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Rainfed,Reddish Brown Earth,None,Medium,0.6,77
Wet Zone,Matara,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,Medium,0.9,70
Dry Zone,Puttalam,Dwarf (CRISL 98),6,Rainfed,Sandy,None,Low,0.4,80
Dry Zone,Anuradhapura,Tall,8,Rainfed,Sandy,None,Low,0.6,52
Dry Zone,Anuradhapura,Tall,5,Rainfed,Loamy Sand,None,Low,0.9,45
Intermediate Zone,Kurunegala,Tall,10,Rainfed,Reddish Brown Earth,None,Medium,0.6,60
Dry Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Sandy,None,Medium,0.7,56
Wet Zone,Kalutara,Dwarf (CRIC 60),4,Irrigated,Sandy Loam,None,Medium,1.1,120
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,1.1,39
Intermediate Zone,Puttalam,Dwarf (CRISL 98),3,Rainfed,Reddish Brown Earth,None,Medium,0.8,96
Intermediate Zone,Puttalam,Tall,12,Rainfed,Reddish Brown Earth,None,Medium,1.0,40
Wet Zone,Galle,Dwarf (CRISL 98),5,Irrigated,Sandy Loam,Banana,Medium,1.0,83
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,High,0.4,43
Intermediate Zone,Puttalam,Tall,6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.9,53
Dry Zone,Polonnaruwa,Tall,9,Rainfed,Sandy,None,Low,0.4,29
Dry Zone,Anuradhapura,Tall,7,Irrigated,Sandy,Peanut,Medium,1.1,66
Dry Zone,Anuradhapura,Dwarf (CRIC 60),7,Rainfed,Sandy,None,Low,1.1,62
Wet Zone,Matara,Tall,13,Rainfed,Sandy Loam,None,Low,1.1,55
Dry Zone,Puttalam,Dwarf (CRIC 60),4,Rainfed,Sandy,None,High,1.1,59
Wet Zone,Galle,Dwarf (CRISL 98),5,Rainfed,Clay Loam,None,High,1.0,96
Wet Zone,Galle,Tall,14,Rainfed,Sandy Loam,None,High,0.5,50
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,High,1.0,37
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Medium,0.6,66
Intermediate Zone,Kurunegala,Tall,8,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.2,57
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Rainfed,Sandy,None,Medium,1.0,69
Wet Zone,Matara,Dwarf (Gon Thembili),6,Rainfed,Clay Loam,None,Medium,0.8,91
Dry Zone,Anuradhapura,Tall,9,Rainfed,Loamy Sand,None,Low,0.7,42
Intermediate Zone,Puttalam,Tall,13,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,76
Dry Zone,Puttalam,Dwarf (Gon Thembili),4,Rainfed,Loamy Sand,None,Low,0.6,61
Wet Zone,Galle,Dwarf (CRIC 60),7,Rainfed,Clay Loam,None,Medium,0.6,107
Intermediate Zone,Puttalam,Tall,15,Irrigated,Reddish Brown Earth,None,Low,0.9,87
Wet Zone,Matara,Tall,10,Rainfed,Sandy Loam,None,Medium,0.3,45
Intermediate Zone,Puttalam,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,0.7,43
Intermediate Zone,Kurunegala,Dwarf (CRISL 98),4,Rainfed,Reddish Brown Earth,None,Medium,1.2,78
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Loamy Sand,None,Medium,0.8,65
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),7,Irrigated,Sandy,None,Low,1.0,81
Wet Zone,Galle,Dwarf (CRISL 98),4,Rainfed,Sandy Loam,None,High,1.0,86
Wet Zone,Matara,Tall,6,Irrigated,Clay Loam,Banana,Medium,1.1,86
Dry Zone,Puttalam,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,1.0,75
Wet Zone,Galle,Dwarf (CRIC 60),4,Rainfed,Sandy Loam,None,Low,0.7,87
Intermediate Zone,Puttalam,Tall,7,Irrigated,Reddish Brown Earth,Sweet Potato,High,1.1,81
Dry Zone,Anuradhapura,Tall,8,Rainfed,Sandy,None,High,0.6,37
Dry Zone,Polonnaruwa,Tall,15,Rainfed,Sandy,None,Low,1.0,60
Dry Zone,Puttalam,Tall,5,Rainfed,Loamy Sand,None,High,1.0,36
Wet Zone,Matara,Tall,12,Rainfed,Clay Loam,None,Medium,1.2,57
Intermediate Zone,Puttalam,Dwarf (CRIC 60),7,Rainfed,Reddish Brown Earth,None,Medium,0.4,63
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),7,Rainfed,Sandy,None,Medium,0.4,50
Intermediate Zone,Puttalam,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Low,1.0,104
Intermediate Zone,Puttalam,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,Cassava,Low,1.1,107
Dry Zone,Anuradhapura,Dwarf (CRISL 98),3,Rainfed,Loamy Sand,None,Medium,0.9,86
Dry Zone,Anuradhapura,Tall,13,Irrigated,Sandy,None,Medium,1.2,37
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),3,Rainfed,Sandy,None,High,1.2,54
Intermediate Zone,Kurunegala,Tall,6,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,1.1,38
Wet Zone,Kalutara,Tall,10,Rainfed,Sandy Loam,None,Medium,0.4,50
Intermediate Zone,Kurunegala,Tall,9,Rainfed,Reddish Brown Earth,None,Low,0.9,60
Intermediate Zone,Puttalam,Dwarf (CRIC 60),4,Irrigated,Reddish Brown Earth,None,Medium,1.0,112
Wet Zone,Galle,Tall,13,Rainfed,Sandy Loam,None,Medium,1.1,56
Dry Zone,Anuradhapura,Tall,15,Rainfed,Sandy,None,Medium,1.1,48
Dry Zone,Anuradhapura,Tall,15,Rainfed,Sandy,None,High,0.7,40
Intermediate Zone,Puttalam,Dwarf (CRISL 98),5,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,91
Dry Zone,Puttalam,Tall,9,Irrigated,Sandy,None,Medium,1.0,68
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),7,Rainfed,Loamy Sand,None,Medium,1.1,64
Wet Zone,Galle,Dwarf (CRISL 98),7,Rainfed,Clay Loam,None,Low,0.7,76
Intermediate Zone,Kurunegala,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.9,54
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),4,Irrigated,Sandy,Peanut,Low,0.9,96
Intermediate Zone,Kurunegala,Tall,7,Irrigated,Reddish Brown Earth,Sweet Potato,Low,1.1,68
Wet Zone,Matara,Tall,11,Rainfed,Clay Loam,None,High,1.1,56
Dry Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Sandy,None,Low,0.3,76
Wet Zone,Galle,Tall,5,Rainfed,Clay Loam,None,High,0.4,74
Wet Zone,Matara,Tall,9,Irrigated,Clay Loam,Pineapple,Low,0.9,54
Dry Zone,Puttalam,Tall,12,Rainfed,Sandy,None,Low,0.5,49
Intermediate Zone,Kurunegala,Tall,7,Irrigated,Reddish Brown Earth,None,Medium,1.0,57
Dry Zone,Anuradhapura,Tall,10,Rainfed,Sandy,None,Low,0.8,31
Wet Zone,Kalutara,Tall,13,Rainfed,Sandy Loam,None,Low,0.4,34
Wet Zone,Galle,Dwarf (CRIC 60),5,Rainfed,Sandy Loam,None,High,0.7,64
Intermediate Zone,Puttalam,Tall,8,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.8,42
Wet Zone,Kalutara,Tall,7,Rainfed,Sandy Loam,None,High,0.5,57
Dry Zone,Anuradhapura,Dwarf (Gon Thembili),3,Rainfed,Sandy,None,Medium,1.0,64
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),5,Irrigated,Sandy,Cowpea,Medium,0.8,90
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,High,1.0,61
Dry Zone,Anuradhapura,Dwarf (CRISL 98),6,Rainfed,Sandy,None,Medium,0.6,64
Wet Zone,Galle,Dwarf (CRISL 98),6,Rainfed,Clay Loam,None,Medium,0.6,101
Dry Zone,Polonnaruwa,Dwarf (Gon Thembili),6,Irrigated,Sandy,Peanut,Low,1.1,56
Wet Zone,Galle,Tall,9,Rainfed,Clay Loam,None,Medium,0.8,57
Wet Zone,Galle,Dwarf (CRISL 98),7,Rainfed,Sandy Loam,None,High,0.5,77
Wet Zone,Matara,Dwarf (CRIC 60),3,Rainfed,Sandy Loam,None,Low,1.2,88
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Rainfed,Reddish Brown Earth,None,Medium,0.8,98
Intermediate Zone,Kurunegala,Dwarf (Gon Thembili),6,Rainfed,Reddish Brown Earth,None,Medium,0.5,56
Dry Zone,Anuradhapura,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Medium,1.0,86
